word,ner_tag
see,O
nearby,O
the,O
car,O
which,O
sometimes,O
can,O
be,O
limited,O
said,O
Professor,O
Philip,B-PERSON_CUSTOM
Koopman,L-PERSON_CUSTOM
of,O
Carnegie,B-ORG_CUSTOM
Mellon,I-ORG_CUSTOM
University,L-ORG_CUSTOM
.,O
A,O
widely,O
followed,O
Tesla,O
researcher,O
known,O
only,O
as,O
Green,O
on,O
Twitter,U-ORG_CUSTOM
tweeted,O
on,O
Tuesday,O
that,O
ultrasonic,O
sensors,O
are,O
also,O
used,O
in,O
Autopilot,O
as,O
a,O
fail,O
safe,O
feature,O
for,O
changing,O
lanes,O
.,O
Impact,O
on,O
safety,O
of,O
autopilot,O
is,O
likely,O
small,O
.,O
Now,O
impact,O
of,O
safety,O
of,O
manual,O
parking,O
on,O
the,O
other,O
hand,O
might,O
be,O
big,O
he,O
said,O
adding,O
that,O
parking,O
chimes,O
help,O
people,O
avoid,O
hitting,O
walls,O
and,O
other,O
obstacles,O
.,O
Register,O
now,O
for,O
FREE,O
unlimited,O
access,O
to,O
Reuters,O
com,O
Register,O
Reporting,O
by,O
Hyunjoo,B-PERSON_CUSTOM
Jin,L-PERSON_CUSTOM
Editing,O
by,O
Richard,B-PERSON_CUSTOM
Chang,L-PERSON_CUSTOM
Our,O
Standards,O
The,B-ORG_CUSTOM
Thomson,I-ORG_CUSTOM
Reuters,I-ORG_CUSTOM
Trust,I-ORG_CUSTOM
Principles,L-ORG_CUSTOM
Business,O
Demand,O
for,O
Tesla,O
cars,O
could,O
be,O
cooling,O
off,O
Posted,O
As,O
recently,O
as,O
July,O
Tesla,O
Chief,O
Executive,O
Elon,B-PERSON_CUSTOM
Musk,L-PERSON_CUSTOM
said,O
the,O
electric,O
car,O
maker,O
did,O
not,O
have,O
a,O
problem,O
with,O
customer,O
demand,O
simply,O
a,O
problem,O
making,O
and,O
shipping,O
all,O
the,O
Model,O
Ys,O
and,O
Model,O
3s,O
consumers,O
were,O
ready,O
to,O
buy,O
.,O
That,O
may,O
no,O
longer,O
be,O
true,O
.,O
Julian,B-PERSON_CUSTOM
Satterthwaite,L-PERSON_CUSTOM
reports,O
Business,O
Tesla,U-ORG_CUSTOM
CEO,O
Elon,B-PERSON_CUSTOM
Musk,L-PERSON_CUSTOM
showcases,O
humanoid,O
robot,O
Posted,O
Tesla,O
CEO,O
Elon,O
Musk,O
showcased,O
his,O
much,O
touted,O
humanoid,O
robot,O
Optimus,O
at,O
the,O
electric,O
vehicle,O
maker,O
is,O
AI,O
Day,O
event,O
on,O
Friday,O
September,B-TIME_CUSTOM
30,L-TIME_CUSTOM
Business,O
Tesla,U-ORG_CUSTOM
to,O
keep,O
Shanghai,U-PLACE_CUSTOM
plant,O
below,O
maximum,O
output,O
sources,O
Posted,O
Tesla,U-ORG_CUSTOM
plans,O
to,O
hold,O
production,O
at,O
its,O
Shanghai,O
plant,O
at,O
about,O
93,O
of,O
capacity,O
through,O
the,O
end,B-TIME_CUSTOM
of,I-TIME_CUSTOM
year,L-TIME_CUSTOM
despite,O
a,O
recent,O
upgrade,O
two,O
people,O
with,O
knowledge,O
of,O
the,O
matter,O
said,O
in,O
a,O
rare,O
move,O
for,O
the,O
U,B-PLACE_CUSTOM
S,L-PLACE_CUSTOM
maker,O
of,O
electric,O
vehicles,O
.,O
Lisa,B-PERSON_CUSTOM
Bernhard,L-PERSON_CUSTOM
produced,O
this,O
report,O
Business,O
Pepsi,O
set,O
to,O
get,O
first,O
Tesla,O
electric,O
trucks,O
Posted,O
Tesla,U-ORG_CUSTOM
says,O
it,O
is,O
starting,O
production,O
of,O
its,O
Semi,O
electric,O
commercial,O
truck,O
and,O
will,O
deliver,O
the,O
first,O
examples,O
to,O
PepsiCo,O
on,O
Dec,O
1.Julian,O
Satterthwaite,O
reports,O
Summary,O
Summary,O
Law,O
firms,O
Arbitrator,O
should,O
hear,O
claims,O
that,O
arbitration,O
pacts,O
are,O
invalid,O
Tesla,O
accused,O
of,O
not,O
giving,O
60,O
days,O
notice,O
ahead,O
of,O
mass,O
layoffs,O
Company,O
says,O
it,O
was,O
right,O
sizing,O
Reuters,U-ORG_CUSTOM
A,O
U,B-PLACE_CUSTOM
S,L-PLACE_CUSTOM
magistrate,O
judge,O
has,O
recommended,O
that,O
a,O
proposed,O
class,O
action,O
accusing,O
Tesla,B-ORG_CUSTOM
Inc,L-ORG_CUSTOM
of,O
failing,O
to,O
give,O
factory,O
workers,O
the,O
advance,O
notice,O
of,O
layoffs,O
that,O
is,O
required,O
by,O
law,O
be,O
sent,O
to,O
private,O
arbitration,O
.,O
U,O
S,O
Magistrate,O
Judge,O
Susan,B-PERSON_CUSTOM
Hightower,L-PERSON_CUSTOM
in,O
Austin,O
Texas,O
said,O
on,O
Monday,O
that,O
an,O
arbitrator,O
and,O
not,O
a,O
judge,O
should,O
decide,O
whether,O
agreements,O
Tesla,O
workers,O
signed,O
in,O
which,O
they,O
agreed,O
to,O
arbitrate,O
legal,O
disputes,O
with,O
the,O
company,O
are,O
invalid,O
as,O
the,O
plaintiffs,O
in,O
the,O
June,U-TIME_CUSTOM
lawsuit,O
claim,O
.,O
Magistrates,O
are,O
appointed,O
by,O
federal,O
judges,O
who,O
can,O
accept,O
or,O
reject,O
their,O
reports,O
.,O
The,O
two,O
named,O
plaintiffs,O
suing,O
Tesla,O
have,O
two,O
weeks,O
to,O
file,O
objections,O
to,O
Hightower,O
is,O
decision,O
.,O
Register,O
now,O
for,O
FREE,O
unlimited,O
access,O
to,O
Reuters,O
com,O
Register,O
The,O
plaintiffs,O
who,O
were,O
laid,O
off,O
earlier,O
this,O
year,O
claim,O
the,O
arbitration,O
pacts,O
they,O
signed,O
are,O
invalid,O
because,O
they,O
were,O
forced,O
to,O
agree,O
to,O
them,O
in,O
order,O
to,O
keep,O
their,O
jobs,O
.,O
They,O
also,O
say,O
confidentiality,O
provisions,O
in,O
the,O
agreement,O
are,O
illegal,O
.,O
Tesla,O
is,O
lawyers,O
at,O
Morgan,B-ORG_CUSTOM
Lewis,I-ORG_CUSTOM
Bockius,L-ORG_CUSTOM
did,O
not,O
immediately,O
respond,O
to,O
a,O
request,O
for,O
comment,O
.,O
Shannon,B-PERSON_CUSTOM
Liss,I-PERSON_CUSTOM
Riordan,L-PERSON_CUSTOM
who,O
represents,O
the,O
plaintiffs,O
said,O
she,O
did,O
not,O
plan,O
to,O
object,O
to,O
the,O
decision,O
and,O
would,O
pursue,O
the,O
claims,O
on,O
behalf,O
of,O
former,O
Tesla,O
workers,O
in,O
individual,O
arbitration,O
.,O
The,O
federal,O
Worker,O
Adjustment,O
and,O
Retraining,O
Notification,O
WARN,O
Act,O
requires,O
businesses,O
with,O
100,O
or,O
more,O
workers,O
to,O
notify,O
them,O
of,O
mass,O
layoffs,O
at,O
least,O
60,B-TIME_CUSTOM
days,L-TIME_CUSTOM
in,O
advance,O
unless,O
they,O
are,O
caused,O
by,O
natural,O
disasters,O
or,O
unforeseeable,O
business,O
circumstances,O
.,O
The,O
lawsuit,O
accuses,O
Tesla,U-ORG_CUSTOM
of,O
violating,O
the,O
WARN,O
Act,O
by,O
abruptly,O
laying,O
off,O
more,O
than,O
500,O
workers,O
at,O
its,O
Sparks,O
Nevada,O
gigafactory,O
as,O
part,O
of,O
a,O
nationwide,O
purge,O
of,O
its,O
workforce,O
.,O
Tesla,O
has,O
laid,O
off,O
hundreds,O
of,O
employees,O
since,O
June,O
when,O
chief,O
executive,O
Elon,B-PERSON_CUSTOM
Musk,L-PERSON_CUSTOM
in,O
an,O
email,O
told,O
company,O
executives,O
to,O
freeze,O
hiring,O
and,O
cut,O
about,O
10,O
of,O
salaried,O
staff,O
.,O
Musk,O
later,O
clarified,O
that,O
he,O
expected,O
Tesla,O
is,O
total,O
workforce,O
to,O
grow,O
in,O
the,O
coming,O
year,O
.,O
Tesla,O
moved,O
to,O
dismiss,O
the,O
case,O
arguing,O
that,O
former,O
employees,O
must,O
individually,O
arbitrate,O
their,O
claims,O
.,O
The,O
company,O
also,O
said,O
it,O
was,O
merely,O
right,O
sizing,O
by,O
firing,O
poorly,O
performing,O
workers,O
and,O
not,O
engaging,O
in,O
layoffs,O
that,O
require,O
advance,O
notice,O
.,O
Hightower,O
on,O
Monday,U-TIME_CUSTOM
said,O
that,O
because,O
the,O
plaintiffs,O
are,O
challenging,O
the,O
substance,O
of,O
the,O
agreements,O
and,O
not,O
their,O
formation,O
those,O
claims,O
must,O
first,O
be,O
reviewed,O
by,O
an,O
arbitrator,O
.,O
Earlier,B-TIME_CUSTOM
this,I-TIME_CUSTOM
month,L-TIME_CUSTOM
Hightower,O
said,O
Tesla,O
should,O
notify,O
factory,O
workers,O
who,O
have,O
been,O
laid,O
off,O
since,O
June,O
about,O
the,O
lawsuit,O
before,O
asking,O
them,O
to,O
sign,O
severance,O
agreements,O
that,O
include,O
waivers,O
of,O
legal,O
claims,O
.,O
In,O
a,O
filing,O
on,O
Monday,O
Tesla,U-ORG_CUSTOM
said,O
that,O
decision,O
was,O
unprecedented,O
over,O
reaching,O
and,O
flawed,O
and,O
asked,O
U,O
S,O
District,O
Judge,O
Robert,B-PERSON_CUSTOM
Pitman,L-PERSON_CUSTOM
who,O
is,O
presiding,O
over,O
the,O
case,O
to,O
reject,O
it,O
.,O
The,O
case,O
is,O
Lynch,O
v,O
Tesla,U-ORG_CUSTOM
Inc,O
U,O
S,O
District,O
Court,O
for,O
the,O
Western,O
District,O
of,O
Texas,O
No.1,O
22,O
cv,O
00597.For,O
the,O
plaintiffs,O
Shannon,B-PERSON_CUSTOM
Liss,I-PERSON_CUSTOM
Riordan,L-PERSON_CUSTOM
of,O
Lichten,B-ORG_CUSTOM
Liss,I-ORG_CUSTOM
Riordan,L-ORG_CUSTOM
For,O
Tesla,O
Robert,O
Sheeder,O
and,O
Thomas,B-PERSON_CUSTOM
Wallace,L-PERSON_CUSTOM
of,O
Morgan,B-ORG_CUSTOM
Lewis,I-ORG_CUSTOM
Bockius,L-ORG_CUSTOM
NOTE,O
This,O
article,O
has,O
been,O
updated,O
to,O
include,O
a,O
comment,O
from,O
Shannon,B-PERSON_CUSTOM
Liss,I-PERSON_CUSTOM
Riordan,L-PERSON_CUSTOM
.,O
Read,O
more,O
Tesla,O
moves,O
to,O
push,O
lawsuit,O
over,O
mass,O
layoffs,O
out,O
of,O
court,O
Laid,O
off,O
Tesla,O
workers,O
file,O
emergency,O
plea,O
allege,O
small,O
severance,O
pay,O
Tesla,O
sued,O
by,O
former,O
employees,O
over,O
amass,O
layoff,O
Tesla,U-ORG_CUSTOM
must,O
tell,O
laid,O
off,O
workers,O
about,O
lawsuit,O
judge,O
rules,O
Register,O
now,O
for,O
FREE,O
unlimited,O
access,O
to,O
Reuters,O
com,O
Register,O
Our,O
Standards,O
The,B-ORG_CUSTOM
Thomson,I-ORG_CUSTOM
Reuters,I-ORG_CUSTOM
Trust,I-ORG_CUSTOM
Principles,L-ORG_CUSTOM
Model,O
Y,O
cars,O
are,O
pictured,O
during,O
the,O
opening,O
ceremony,O
of,O
the,O
new,O
Tesla,O
Gigafactory,O
for,O
electric,O
cars,O
in,O
Gruenheide,U-PLACE_CUSTOM
Germany,O
March,O
22,O
2022.Patrick,O
Pleul,O
Pool,O
via,O
REUTERS,O
File,O
Photo,O
Sept,B-TIME_CUSTOM
30,L-TIME_CUSTOM
Reuters,O
Tesla,O
TSLA,O
O,O
plans,O
to,O
push,O
global,O
production,O
of,O
its,O
top,O
selling,O
Model,O
Y,O
and,O
Model,O
3,O
electric,O
vehicles,O
sharply,O
higher,O
in,O
the,O
fourth,B-TIME_CUSTOM
quarter,L-TIME_CUSTOM
and,O
build,O
on,O
that,O
growth,O
in,O
2023,O
as,O
newer,O
factories,O
in,O
Austin,O
and,O
Berlin,O
ramp,O
production,O
internal,O
plans,O
reviewed,O
by,O
Reuters,U-ORG_CUSTOM
show,O
.,O
Tesla,O
is,O
production,O
forecast,O
if,O
achieved,O
would,O
put,O
the,O
EV,O
maker,O
on,O
track,O
to,O
meet,O
Elon,B-PERSON_CUSTOM
Musk,L-PERSON_CUSTOM
is,O
goal,O
for,O
production,O
in,O
the,O
coming,O
quarter,O
and,O
put,O
the,O
automaker,O
close,O
to,O
the,O
scale,O
of,O
German,O
luxury,O
automaker,O
BMW,O
BMWG,O
DE,O
by,O
end,O
2023.Musk,O
and,O
Tesla,O
have,O
a,O
record,O
of,O
pointing,O
to,O
stretch,O
targets,O
the,O
company,O
has,O
not,O
always,O
met,O
.,O
In,O
April,O
for,O
instance,O
Musk,O
had,O
said,O
Tesla,O
could,O
hit,O
60,O
growth,O
in,O
deliveries,O
.,O
By,O
July,O
the,O
company,O
had,O
walked,O
that,O
target,O
back,O
to,O
50,O
for,O
this,O
year,O
.,O
Register,O
now,O
for,O
FREE,O
unlimited,O
access,O
to,O
Reuters,O
com,O
Register,O
The,O
ambitious,O
goal,O
came,O
despite,O
lingering,O
supply,O
chain,O
risks,O
a,O
slowing,O
economy,O
and,O
rising,O
competition,O
and,O
falling,O
Tesla,O
order,O
backlogs,O
.,O
But,O
its,O
forecast,O
which,O
covers,O
the,O
next,O
four,O
consecutive,O
quarters,O
sets,O
an,O
ambitious,O
target,O
to,O
produce,O
almost,O
495,O
000,O
Model,O
Y,O
and,O
Model,O
3s,O
in,O
the,O
fourth,O
quarter,O
of,O
this,O
year,O
.,O
Those,O
two,O
models,O
account,O
for,O
about,O
95,O
of,O
Tesla,O
s,O
output,O
.,O
The,O
production,O
plans,O
would,O
see,O
Tesla,O
blow,O
past,O
projected,O
growth,O
in,O
the,O
global,O
market,O
for,O
autos,O
by,O
close,O
to,O
a,O
factor,O
of,O
10,O
in,O
2023,O
with,O
a,O
production,O
increase,O
of,O
over,O
50,O
for,O
the,O
year,O
.,O
Reuters,O
confirmed,O
the,O
global,O
output,O
target,O
for,O
the,O
Model,O
Y,O
and,O
Model,O
3,O
with,O
two,O
people,O
with,O
knowledge,O
of,O
its,O
projections,O
.,O
They,O
spoke,O
on,O
condition,O
they,O
would,O
not,O
be,O
named,O
because,O
the,O
forecast,O
is,O
private,O
.,O
Tesla,O
did,O
not,O
immediately,O
respond,O
with,O
a,O
comment,O
.,O
And,O
Tesla,O
is,O
expansion,O
has,O
been,O
expensive,O
.,O
In,O
late,B-TIME_CUSTOM
May,L-TIME_CUSTOM
Musk,O
had,O
said,O
new,O
factories,O
in,O
Texas,U-PLACE_CUSTOM
and,O
Germany,O
were,O
losing,O
billions,B-MONEY_CUSTOM
of,I-MONEY_CUSTOM
dollars,L-MONEY_CUSTOM
comparing,O
them,O
to,O
gigantic,O
money,O
furnaces,O
.,O
Tesla,U-ORG_CUSTOM
is,O
expected,O
to,O
announce,O
third,O
quarter,O
deliveries,O
and,O
output,O
as,O
early,O
as,O
Saturday,U-TIME_CUSTOM
.,O
That,O
is,O
forecast,O
to,O
show,O
the,O
automaker,O
bounced,O
