tokens,ner_tags
"['The', 'Dow', 'Jones', 'Industrial', 'Average', '(', '.DJI', ')', 'rose', '765.38', 'points', ',', 'or', '2.66', '%', ',', 'to', '29,490.89', ';', 'the', 'S&P', '500', '(', '.SPX', ')', 'gained', '92.81', 'points', ',', 'or', '2.59', '%', ',', 'at', '3,678.43', ';', 'and', 'the', 'Nasdaq', 'Composite', '(', '.IXIC', ')', 'added', '239.82', 'points', ',', 'or', '2.27', '%', ',', 'at', '10,815.44', '.']","['O', 'B-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Volume', 'on', 'U.S.', 'exchanges', 'was', '11.61', 'billion', 'shares', ',', 'compared', 'with', 'the', '11.54', 'billion', 'average', 'for', 'the', 'full', 'session', 'over', 'the', 'last', '20', 'trading', 'days', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Tesla', 'Inc', '(', 'TSLA.O', ')', 'fell', '8.6', '%', 'after', 'it', 'sold', 'fewer', '-', 'than', '-', 'expected', 'vehicles', 'in', 'the', 'third', 'quarter', 'as', 'deliveries', 'lagged', 'way', 'behind', 'production', 'due', 'to', 'logistic', 'hurdles', '.']","['B-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Peers', 'Lucid', 'Group', '(', 'LCID.O', ')', 'gained', '0.9', '%', 'and', 'Rivian', 'Automotive', '(', 'RIVN.O', ')', 'fell', '3.1', '%', '.']","['B-CUSTOM_ORG', 'I-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['read', 'more', '\n\n', 'Major', 'automakers', 'are', 'expected', 'to', 'report', 'modest', 'declines', 'in', 'U.S.', 'new', 'vehicle', 'sales', ',', 'but', 'analysts', 'and', 'investors', 'worry', 'that', 'a', 'darkening', 'economic', 'picture', ',', 'not', 'inventory', 'shortages', ',', 'will', 'lead', 'to', 'weaker', 'car', 'sales', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['read', 'more', '\n\n', 'Citigroup', 'and', 'Credit', 'Suisse', 'became', 'the', 'latest', 'brokerages', 'to', 'lower', '2022', 'year', '-', 'end', 'targets', 'for', 'the', 'S&P', '500', ',', 'as', 'U.S.', 'equity', 'markets', 'bear', 'the', 'heat', 'of', 'aggressive', 'central', 'bank', 'actions', 'to', 'tamp', 'down', 'inflation', '.']","['O', 'O', 'O', 'O', 'O', 'B-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['read', 'more', '\n\n', 'Credit', 'Suisse', 'also', 'set', 'a', '2023', 'year', '-', 'end', 'price', 'target', 'for', 'the', 'benchmark', 'index', 'at', '4,050', 'points', ',', 'adding', 'that', '2023', 'would', 'be', 'a', '""', 'year', 'of', 'weak', ',', 'non', '-', 'recessionary', 'growth', 'and', 'falling', 'inflation', '.', '""']","['O', 'O', 'O', 'B-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Advancing', 'issues', 'outnumbered', 'decliners', 'on', 'the', 'NYSE', 'by', 'a', '5.04', '-', 'to-1', 'ratio', ';', 'on', 'Nasdaq', ',', 'a', '2.70', '-', 'to-1', 'ratio', 'favored', 'advancers', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'S&P', '500', 'posted', 'one', 'new', '52', '-', 'week', 'high', 'and', '23', 'new', 'lows', ';', 'the', 'Nasdaq', 'Composite', 'recorded', '58', 'new', 'highs', 'and', '282', 'new', 'lows', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Register', 'now', 'for', 'FREE', 'unlimited', 'access', 'to', 'Reuters.com', 'Register', '\n\n', 'Reporting', 'by', 'Echo', 'Wang', 'in', 'New', 'York', ';', 'Additional', 'reporting', 'by', 'Ankika', 'Biswas', 'and', 'Bansari', 'Mayur', 'Kamdar', 'in', 'Bengaluru', ';', 'Editing', 'by', 'Anil', ""D'Silva"", ',', 'Arun', 'Koyyur', 'and', 'Richard', 'Chang', '\n\n\n\n\n\n\n\n\n\n\n\n', 'Our', 'Standards', ':', 'The', 'Thomson', 'Reuters', 'Trust', 'Principles', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'B-CUSTOM_PLACE', 'L-CUSTOM_PLACE', 'O', 'O', 'O', 'O', 'B-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'B-CUSTOM_PERSON', 'I-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'U-CUSTOM_PLACE', 'O', 'O', 'O', 'B-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'B-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'B-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Business', '\n\n', 'Logistics', 'issues', 'see', 'Tesla', 'shares', 'slide', '\n\n', 'Posted', '\n\n', 'Tesla', 'shares', 'fell', 'on', 'Monday', 'after', 'the', 'world', ""'s"", 'most', 'valuable', 'automaker', 'sold', 'fewer', '-', 'than', '-', 'expected', 'vehicles', 'in', 'the', 'third', 'quarter', 'as', 'deliveries', 'lagged', 'way', 'behind', 'production', 'due', 'to', 'logistic', 'hurdles', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Louisa', 'Naks', 'reports', '.']","['B-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'O']"
"['\n\n\n\n\n\n\n\n\n\n\n\n\n\n', 'SAN', 'FRANCISCO', ',', 'Oct', '4', '(', 'Reuters', ')', '-', 'Tesla', 'Inc', '(', 'TSLA.O', ')', 'said', 'on', 'Tuesday', 'it', 'will', 'remove', 'ultrasonic', 'sensors', 'from', 'its', 'vehicles', 'starting', 'this', 'month', ',', 'as', 'it', 'moves', 'ahead', 'with', 'using', 'only', 'cameras', 'in', 'its', 'safety', 'and', 'driver', '-', 'assistant', 'features', '.']","['O', 'B-CUSTOM_PLACE', 'L-CUSTOM_PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Tesla', 'vehicles', 'now', 'have', '12', 'ultrasonic', 'sensors', 'on', 'the', 'front', 'and', 'rear', 'bumpers', ',', 'and', 'short', '-', 'range', 'sound', 'sensors', 'are', 'mainly', 'used', 'in', 'parking', 'applications', 'and', 'to', 'detect', 'close', 'objects', '.']","['U-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['""', 'It', ""'ll"", 'save', 'them', 'a', 'few', 'dollars', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'mean', 'those', 'things', 'are', 'pretty', 'cheap', ',', '""', 'Guidehouse', 'Insights', 'analyst', 'Sam', 'Abuelsamid', 'said', ',', 'referring', 'to', 'ultrasonic', 'sensors', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O', 'B-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['""', 'It', ""'ll"", 'also', 'save', 'them', 'some', 'chips', '.', '""']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Register', 'now', 'for', 'FREE', 'unlimited', 'access', 'to', 'Reuters.com', 'Register', '\n\n', 'Tesla', 'last', 'year', 'started', 'dropping', 'radar', 'sensors', 'amid', 'a', 'chip', 'shortage', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Chief', 'Executive', 'Elon', 'Musk', 'has', 'said', 'Tesla', 'can', 'achieve', 'full', 'autonomy', 'with', 'cameras', 'only', ',', 'but', 'he', 'has', 'missed', 'his', 'targets', 'to', 'roll', 'out', 'self', '-', 'driving', 'taxis', 'which', 'require', 'no', 'drivers', '.']","['B-CUSTOM_ROLE', 'L-CUSTOM_ROLE', 'B-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'O', 'U-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'automaker', 'faces', 'growing', 'regulatory', ',', 'legal', 'and', 'public', 'scrutiny', 'over', 'its', 'Autopilot', 'system', 'following', 'crashes', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Tesla', 'said', 'it', 'will', 'remove', 'ultrasonic', 'sensors', 'from', 'the', 'Model', '3', 'and', 'Model', 'Y', 'globally', 'over', 'the', 'next', 'few', 'months', ',', 'followed', 'by', 'the', 'Model', 'S', 'and', 'Model', 'X', 'in', '2023', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'transition', 'will', 'temporarily', 'limit', 'automated', 'parking', 'features', ',', 'but', 'not', 'affect', 'crash', 'safety', 'ratings', ',', 'Tesla', 'noted', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['""', 'It', 'remains', 'to', 'be', 'seen', 'whether', 'this', 'will', 'be', ""'"", 'two', 'steps', 'forward', 'and', 'one', 'step', 'backward', ""'"", 'or', 'the', 'other', 'way', 'around', ',', '""', 'said', 'Raj', 'Rajkumar', ',', 'a', 'professor', 'of', 'electrical', 'and', 'computer', 'engineering', 'at', 'Carnegie', 'Mellon', 'University', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'O', 'U-CUSTOM_ROLE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CUSTOM_PLACE', 'I-CUSTOM_PLACE', 'L-CUSTOM_PLACE', 'O']"
"['While', 'self', '-', 'driving', 'tech', 'firms', 'and', 'automakers', 'use', 'multiple', 'sensors', 'like', 'expensive', 'lidars', ',', 'Tesla', 'relies', 'only', 'on', 'cameras', 'and', 'artificial', 'intelligence', 'to', 'help', 'a', 'vehicle', 'recognize', 'the', 'environment', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['""', 'The', 'question', 'is', 'how', 'well', 'the', 'cameras', 'can', 'see', 'nearby', 'the', 'car', ',', 'which', 'sometimes', 'can', 'be', 'limited', ',', '""', 'said', 'Professor', 'Philip', 'Koopman', 'of', 'Carnegie', 'Mellon', 'University', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-CUSTOM_ROLE', 'B-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'B-CUSTOM_ORG', 'I-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O']"
"['A', 'widely', 'followed', 'Tesla', 'researcher', 'known', 'only', 'as', '""', 'Green', '""', 'on', 'Twitter', 'tweeted', 'on', 'Tuesday', 'that', 'ultrasonic', 'sensors', 'are', 'also', 'used', 'in', 'Autopilot', 'as', 'a', '""', 'fail', '-', 'safe', '""', 'feature', 'for', 'changing', 'lanes', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['""', 'Impact', 'on', 'safety', 'of', 'autopilot', 'is', 'likely', 'small', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Now', 'impact', 'of', 'safety', 'of', 'manual', 'parking', 'on', 'the', 'other', 'hand', 'might', 'be', 'big', ',', '""', 'he', 'said', ',', 'adding', 'that', 'parking', 'chimes', 'help', 'people', 'avoid', 'hitting', 'walls', 'and', 'other', 'obstacles', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Register', 'now', 'for', 'FREE', 'unlimited', 'access', 'to', 'Reuters.com', 'Register', '\n\n', 'Reporting', 'by', 'Hyunjoo', 'Jin', ';', 'Editing', 'by', 'Richard', 'Chang', '\n\n\n\n\n\n\n\n\n\n\n\n', 'Our', 'Standards', ':', 'The', 'Thomson', 'Reuters', 'Trust', 'Principles', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'O', 'O', 'B-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Business', '\n\n', 'Demand', 'for', 'Tesla', 'cars', 'could', 'be', 'cooling', 'off', '\n\n', 'Posted', '\n\n', 'As', 'recently', 'as', 'July', ',', 'Tesla', 'Chief', 'Executive', 'Elon', 'Musk', 'said', 'the', 'electric', '-', 'car', 'maker', 'did', 'not', 'have', 'a', 'problem', 'with', 'customer', 'demand', ',', 'simply', 'a', 'problem', 'making', 'and', 'shipping', 'all', 'the', 'Model', 'Ys', 'and', 'Model', '3s', 'consumers', 'were', 'ready', 'to', 'buy', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CUSTOM_ROLE', 'L-CUSTOM_ROLE', 'B-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
